Brand,Year,Engine_Size_L,Horsepower,Weight_kg,Fuel_Type,Transmission,Mileage_MPG,Price
Hyundai,2021,2.2,65,1042,CNG,Manual,40.7,416109
Tata,2024,2.3,381,1893,Diesel,Manual,20.2,814624
Tata,2024,3.4,279,1005,Petrol,Manual,26.8,778627
Honda,2015,2.0,134,1786,Petrol,Automatic,38.8,491573
Tata,2021,2.4,63,1327,Petrol,Automatic,40.8,524898
Hyundai,2020,2.9,394,2228,Petrol,Manual,19.9,790403
Tata,2022,2.1,193,1216,Diesel,Automatic,34.8,643464
Tata,2013,3.5,177,1534,Diesel,Manual,35.9,437926
Ford,2011,2.8,153,908,Diesel,Automatic,32.1,499968
Toyota,2023,1.9,121,1673,Petrol,Automatic,39.5,710205
Honda,2011,3.1,253,1996,Electric,Automatic,37.3,658935
BMW,2018,2.6,394,2282,Diesel,Manual,22.8,1450985
Tata,2024,2.6,262,1122,Diesel,Manual,24.2,555237
Tata,2014,2.4,85,2339,Diesel,Manual,40.4,275343
Toyota,2013,2.5,232,1452,Petrol,Manual,25.6,613696
Audi,2019,3.3,359,2293,Petrol,Automatic,33.0,1339623
BMW,2022,1.3,192,1615,Petrol,Automatic,40.2,1340527
Honda,2010,2.0,385,2187,Diesel,Automatic,19.9,627253
Toyota,2016,1.2,177,2241,Petrol,Automatic,27.6,545554
Ford,2012,3.3,383,2007,Petrol,Automatic,19.4,771671
Mahindra,2015,1.8,334,2241,Petrol,Automatic,24.4,554931
Ford,2014,3.7,271,1010,Petrol,Automatic,23.5,763000
Audi,2014,2.6,284,1150,CNG,Automatic,27.8,1331681
Maruti,2020,3.4,79,1282,Diesel,Manual,39.7,506728
Ford,2014,3.9,172,906,Diesel,Manual,35.1,560274
Kia,2010,3.5,199,1358,Petrol,Manual,33.7,387298
Kia,2010,3.6,106,2007,Diesel,Automatic,35.7,399820
Honda,2012,2.2,60,1107,Diesel,Automatic,38.8,351517
Audi,2023,2.7,149,1799,Petrol,Manual,36.2,1198586
Ford,2021,1.8,201,2313,Petrol,Automatic,31.0,681470
Ford,2019,1.6,379,2237,Petrol,Automatic,25.0,821622
Toyota,2013,2.5,97,921,Diesel,Manual,39.3,357798
Hyundai,2014,2.8,352,1309,Diesel,Manual,29.5,667160
Audi,2011,2.0,198,1794,Petrol,Automatic,35.6,1138120
Toyota,2017,2.7,392,1414,Petrol,Manual,24.8,737258
Honda,2020,3.7,318,2050,Diesel,Automatic,26.3,759911
Mahindra,2020,2.7,220,1708,Diesel,Manual,32.3,633457
Honda,2023,3.2,237,1773,CNG,Automatic,36.0,759595
Toyota,2011,3.4,69,913,Diesel,Automatic,39.7,519199
Audi,2018,4.0,320,1870,Petrol,Automatic,27.4,1425180
Kia,2011,2.8,197,1877,Petrol,Automatic,32.4,476940
Honda,2022,3.4,231,1913,Diesel,Manual,30.3,670690
Maruti,2018,3.9,72,1935,Petrol,Manual,37.2,495865
Maruti,2016,3.8,227,986,Diesel,Manual,29.2,579804
Honda,2024,1.4,189,2447,Electric,Automatic,30.9,699855
Maruti,2017,2.2,143,1808,Diesel,Automatic,38.2,431641
Ford,2024,2.0,380,2460,Petrol,Automatic,25.3,862170
Hyundai,2020,1.3,378,2224,Diesel,Manual,22.0,617580
Hyundai,2011,2.9,160,2166,Diesel,Manual,36.1,429258
Hyundai,2016,3.2,388,1021,Diesel,Manual,21.3,697182
Toyota,2021,3.5,332,2070,Electric,Manual,22.6,813371
Tata,2015,1.4,324,2490,Petrol,Automatic,28.1,697486
Ford,2013,3.6,97,1649,Electric,Manual,41.1,468059
Honda,2016,2.9,153,2279,CNG,Manual,30.1,487008
Toyota,2023,3.1,154,1584,Petrol,Automatic,34.9,695362
Hyundai,2022,3.7,364,1208,Petrol,Manual,20.5,699307
Maruti,2013,2.9,128,1594,Petrol,Manual,36.1,311384
Toyota,2011,2.0,377,1187,Petrol,Automatic,20.4,660665
Audi,2019,3.5,295,1206,Petrol,Manual,27.2,1361503
Honda,2021,2.1,393,1813,Diesel,Automatic,20.4,816358
Hyundai,2016,1.1,196,1561,Petrol,Automatic,32.2,511466
Honda,2017,3.5,135,1448,Petrol,Automatic,40.2,613186
Maruti,2011,2.0,94,2275,CNG,Manual,41.0,288465
BMW,2014,3.3,60,1211,Petrol,Automatic,39.3,1223103
Mahindra,2010,2.1,355,1772,CNG,Manual,22.0,399303
Toyota,2016,3.6,379,1982,Petrol,Manual,23.7,834116
Ford,2017,1.7,119,1823,Petrol,Manual,39.3,339448
Toyota,2022,3.9,379,1654,Diesel,Automatic,20.4,959610
Mahindra,2015,3.3,387,934,Diesel,Manual,21.1,769195
Tata,2014,1.3,326,1344,CNG,Manual,31.0,509832
Honda,2024,2.7,288,992,Diesel,Automatic,26.0,824052
Maruti,2015,4.0,329,2130,CNG,Manual,31.0,718297
Tata,2024,2.4,375,1252,Petrol,Manual,25.8,684846
Hyundai,2011,1.5,345,1802,Petrol,Manual,29.5,507698
Audi,2010,2.5,350,2255,Diesel,Manual,22.1,1183905
Honda,2016,2.5,272,1761,CNG,Manual,28.2,556479
Toyota,2016,3.2,224,1058,Electric,Manual,30.2,607494
Tata,2019,3.1,64,1856,Petrol,Automatic,44.5,484011
Mahindra,2020,2.2,398,923,Petrol,Manual,19.4,692765
Hyundai,2019,1.7,137,1303,Diesel,Manual,39.0,476934
Ford,2023,2.9,121,1704,Petrol,Automatic,39.8,702961
Ford,2011,2.3,191,1415,Electric,Manual,33.4,498273
Maruti,2011,1.4,148,1631,CNG,Automatic,40.0,264942
Tata,2010,3.7,296,2287,Petrol,Manual,27.6,500887
Tata,2019,3.1,101,2305,Diesel,Manual,41.4,409629
Maruti,2017,3.0,148,1431,Diesel,Manual,34.6,468486
